name,n,year
RADIOLOGY,0.04,8/1/2020
PHARMACY,0.04,8/1/2020
DENTISTRY,0.04,9/1/2020
B BARN,0.04,9/1/2020
PATHOLOGY,0.04,9/1/2020
FINANCIAL SERVICES,0.04,9/1/2020
SA COMMUNITY SERVICE,0.04,10/1/2020
ORTHOPEDIC SURGERY,0.04,10/1/2020
ADMINISTRATION OVERHEAD,0.04,10/1/2020
FINANCIAL SERVICES,0.04,10/1/2020
PATHOLOGY,0.04,11/1/2020
RADIOLOGY,0.04,11/1/2020
OPHTHALMOLOGY,0.04,12/1/2020
SA SX SUPPORT,0.04,12/1/2020
RADIOLOGY,0.04,12/1/2020
DENTISTRY,0.04,1/1/2021
ONCOLOGIES,0.04,1/1/2021
LAM - EQUINE,0.04,1/1/2021
PATHOLOGY,0.04,1/1/2021
PHARMACY,0.04,1/1/2021
PERSONNEL/PAYROLL,0.04,1/1/2021
BIOLOGICAL MEDIA SERVICES,0.04,2/1/2021
BEHAVIOR,0.04,2/1/2021
SA COMMUNITY SERVICE,0.04,2/1/2021
PHARMACY,0.04,2/1/2021
PERSONNEL/PAYROLL,0.04,2/1/2021
NUTRITION,0.04,3/1/2021
ONCOLOGIES,0.04,3/1/2021
OPHTHALMOLOGY,0.04,3/1/2021
B BARN,0.04,3/1/2021
SA MEDICINE,0.04,4/1/2021
ORTHOPEDIC SURGERY,0.04,4/1/2021
BEHAVIOR,0.04,5/1/2021
DENTISTRY,0.04,5/1/2021
SA COMMUNITY SERVICE,0.04,5/1/2021
FINANCIAL SERVICES,0.04,5/1/2021
COMP AVIAN,0.04,6/1/2021
BIOLOGICAL MEDIA SERVICES,0.04,7/1/2021
SA MEDICINE,0.04,7/1/2021
NUTRITION,0.04,7/1/2021
ONCOLOGIES,0.04,8/1/2021
BIOLOGICAL MEDIA SERVICES,0.04,9/1/2021
BEHAVIOR,0.04,9/1/2021
B BARN,0.04,9/1/2021
DENTISTRY,0.04,10/1/2021
SA INTEGRATIVE MEDICINE,0.04,10/1/2021
PATHOLOGY,0.04,10/1/2021
ONCOLOGIES,0.04,11/1/2021
SA SURGERY,0.04,11/1/2021
SA MEDICINE,0.03,1/1/2020
OPHTHALMOLOGY,0.03,1/1/2020
SA COMMUNITY SERVICE,0.03,1/1/2020
FINANCIAL SERVICES,0.03,1/1/2020
PERSONNEL/PAYROLL,0.03,1/1/2020
SA SURGERY,0.03,2/1/2020
COMP AVIAN,0.03,2/1/2020
PHARMACY,0.03,2/1/2020
FINANCIAL SERVICES,0.03,3/1/2020
FINANCIAL SERVICES,0.03,4/1/2020
SA SURGERY,0.03,5/1/2020
LIVESTOCK,0.03,6/1/2020
HOUSE OFFICERS,0.03,6/1/2020
ORTHOPEDIC SURGERY,0.03,6/1/2020
OPHTHALMOLOGY,0.03,7/1/2020
PATHOLOGY,0.03,7/1/2020
SA SURGERY,0.03,9/1/2020
RADIOLOGY,0.03,9/1/2020
B BARN,0.03,11/1/2020
ADMINISTRATION OVERHEAD,0.03,11/1/2020
FINANCIAL SERVICES,0.03,11/1/2020
COMP AVIAN,0.03,1/1/2021
B BARN,0.03,1/1/2021
ONCOLOGIES,0.03,2/1/2021
ADMINISTRATION OVERHEAD,0.03,2/1/2021
SA INTEGRATIVE MEDICINE,0.03,3/1/2021
SA COMMUNITY SERVICE,0.03,3/1/2021
ADMINISTRATION OVERHEAD,0.03,3/1/2021
ONCOLOGIES,0.03,4/1/2021
B BARN,0.03,5/1/2021
BIOLOGICAL MEDIA SERVICES,0.03,6/1/2021
SA COMMUNITY SERVICE,0.03,6/1/2021
SA SURGERY,0.03,6/1/2021
PATHOLOGY,0.03,6/1/2021
PERSONNEL/PAYROLL,0.03,6/1/2021
SA SURGERY,0.03,8/1/2021
PATHOLOGY,0.03,8/1/2021
SA SX SUPPORT,0.03,11/1/2021
LAM - EQUINE,0.03,11/1/2021
B BARN,0.03,11/1/2021
SA INTEGRATIVE MEDICINE,0.03,12/1/2021
BEHAVIOR,0.02,1/1/2020
SA CARDIOLOGY,0.02,1/1/2020
SA SURGERY,0.02,1/1/2020
OPHTHALMOLOGY,0.02,2/1/2020
BEHAVIOR,0.02,3/1/2020
NUTRITION,0.02,3/1/2020
PERSONNEL/PAYROLL,0.02,3/1/2020
BEHAVIOR,0.02,4/1/2020
ADMINISTRATION OVERHEAD,0.02,5/1/2020
SA SURGERY,0.02,6/1/2020
B BARN,0.02,7/1/2020
DERMATOLOGY,0.02,7/1/2020
SA SURGERY,0.02,8/1/2020
LIVESTOCK,0.02,9/1/2020
COMP AVIAN,0.02,9/1/2020
ADMINISTRATION OVERHEAD,0.02,9/1/2020
DENTISTRY,0.02,10/1/2020
SA SURGERY,0.02,10/1/2020
NEURO,0.02,1/1/2021
SA INTEGRATIVE MEDICINE,0.02,2/1/2021
LIVESTOCK,0.02,3/1/2021
BEHAVIOR,0.02,3/1/2021
OPHTHALMOLOGY,0.02,4/1/2021
OPHTHALMOLOGY,0.02,6/1/2021
SA CARDIOLOGY,0.02,7/1/2021
DENTISTRY,0.02,7/1/2021
SA INTEGRATIVE MEDICINE,0.02,7/1/2021
BIOLOGICAL MEDIA SERVICES,0.02,8/1/2021
SA CARDIOLOGY,0.02,8/1/2021
SA INTEGRATIVE MEDICINE,0.02,8/1/2021
B BARN,0.02,8/1/2021
FINANCIAL SERVICES,0.02,9/1/2021
DERMATOLOGY,0.02,10/1/2021
SA INTEGRATIVE MEDICINE,0.02,11/1/2021
SA COMMUNITY SERVICE,0.02,11/1/2021
DENTISTRY,0.02,12/1/2021
SA SURGERY,0.02,12/1/2021
HOUSE OFFICERS,0.01,1/1/2020
B BARN,0.01,1/1/2020
HOUSE OFFICERS,0.01,2/1/2020
HOUSE OFFICERS,0.01,3/1/2020
HOUSE OFFICERS,0.01,4/1/2020
HOUSE OFFICERS,0.01,5/1/2020
NUTRITION,0.01,5/1/2020
HOUSE OFFICERS,0.01,8/1/2020
OPHTHALMOLOGY,0.01,8/1/2020
B BARN,0.01,8/1/2020
HOUSE OFFICERS,0.01,9/1/2020
HOUSE OFFICERS,0.01,10/1/2020
OPHTHALMOLOGY,0.01,10/1/2020
PERSONNEL/PAYROLL,0.01,10/1/2020
OPHTHALMOLOGY,0.01,11/1/2020
ADMINISTRATION OVERHEAD,0.01,1/1/2021
OPHTHALMOLOGY,0.01,2/1/2021
B BARN,0.01,4/1/2021
HOUSE OFFICERS,0.01,5/1/2021
SA INTEGRATIVE MEDICINE,0.01,6/1/2021
HOUSE OFFICERS,0.01,7/1/2021
SA COMMUNITY SERVICE,0.01,7/1/2021
ADMINISTRATION OVERHEAD,0.01,7/1/2021
SA CARDIOLOGY,0.01,9/1/2021
SA COMMUNITY SERVICE,0.01,10/1/2021
B BARN,0.01,10/1/2021
FINANCIAL SERVICES,0.01,10/1/2021
HOUSE OFFICERS,0.01,12/1/2021
DERMATOLOGY,0.00,1/1/2020
PERSONNEL/PAYROLL,0.00,2/1/2020
DERMATOLOGY,0.00,2/1/2020
NUTRITION,0.00,4/1/2020
PERSONNEL/PAYROLL,0.00,4/1/2020
SA INTEGRATIVE MEDICINE,0.00,5/1/2020
DERMATOLOGY,0.00,5/1/2020
NUTRITION,0.00,6/1/2020
PERSONNEL/PAYROLL,0.00,6/1/2020
DERMATOLOGY,0.00,6/1/2020
HOUSE OFFICERS,0.00,7/1/2020
NUTRITION,0.00,8/1/2020
DERMATOLOGY,0.00,8/1/2020
BEHAVIOR,0.00,9/1/2020
NUTRITION,0.00,9/1/2020
NUTRITION,0.00,10/1/2020
B BARN,0.00,10/1/2020
HOUSE OFFICERS,0.00,11/1/2020
BEHAVIOR,0.00,11/1/2020
DERMATOLOGY,0.00,11/1/2020
HOUSE OFFICERS,0.00,12/1/2020
DERMATOLOGY,0.00,12/1/2020
HOUSE OFFICERS,0.00,1/1/2021
BEHAVIOR,0.00,1/1/2021
NUTRITION,0.00,1/1/2021
OPHTHALMOLOGY,0.00,1/1/2021
SA INTEGRATIVE MEDICINE,0.00,1/1/2021
DERMATOLOGY,0.00,1/1/2021
HOUSE OFFICERS,0.00,2/1/2021
DENTISTRY,0.00,2/1/2021
NUTRITION,0.00,2/1/2021
B BARN,0.00,2/1/2021
SA ULTRASOUND,0.00,2/1/2021
DERMATOLOGY,0.00,2/1/2021
HOUSE OFFICERS,0.00,3/1/2021
DENTISTRY,0.00,3/1/2021
PERSONNEL/PAYROLL,0.00,3/1/2021
HOUSE OFFICERS,0.00,4/1/2021
BEHAVIOR,0.00,4/1/2021
HOUSE OFFICERS,0.00,6/1/2021
BEHAVIOR,0.00,6/1/2021
SA ULTRASOUND,0.00,6/1/2021
DERMATOLOGY,0.00,6/1/2021
HOUSE OFFICERS,0.00,8/1/2021
NUTRITION,0.00,8/1/2021
HOUSE OFFICERS,0.00,9/1/2021
NUTRITION,0.00,9/1/2021
SA ULTRASOUND,0.00,9/1/2021
HOUSE OFFICERS,0.00,10/1/2021
NUTRITION,0.00,10/1/2021
OPHTHALMOLOGY,0.00,10/1/2021
HOUSE OFFICERS,0.00,11/1/2021
BEHAVIOR,0.00,11/1/2021
DENTISTRY,0.00,11/1/2021
NUTRITION,0.00,11/1/2021
FINANCIAL SERVICES,0.00,11/1/2021
DERMATOLOGY,0.00,11/1/2021
DERMATOLOGY,0.00,12/1/2021
