"","Department","Absent_Rate","month"
"573","SA CARDIOLOGY","5%",2021-01-01
"574","SA COMMUNITY SERVICE","5%",2021-01-01
"575","RADIOLOGY","5%",2021-01-01
"576","CENTRAL SERVICE","5%",2021-01-01
"577","FINANCIAL SERVICES","5%",2021-01-01
"578","COMMUNITY SURGERY","5%",2021-02-01
"579","COMP AVIAN","5%",2021-02-01
"580","PATHOLOGY","5%",2021-02-01
"581","CENTRAL SERVICE","5%",2021-02-01
"582","LAM - EQUINE","5%",2021-03-01
"583","RADIOLOGY","5%",2021-03-01
"584","SA INTEGRATIVE MEDICINE","5%",2021-04-01
"585","COMP AVIAN","5%",2021-04-01
"586","PHARMACY","5%",2021-04-01
"587","PERSONNEL/PAYROLL","5%",2021-04-01
"588","NEURO","5%",2021-05-01
"589","ONCOLOGIES","5%",2021-05-01
"590","OPHTHALMOLOGY","5%",2021-05-01
"591","SA INTEGRATIVE MEDICINE","5%",2021-05-01
"592","SA SURGERY","5%",2021-05-01
"593","DERMATOLOGY","5%",2021-05-01
"594","ONCOLOGIES","5%",2021-06-01
"595","ONCOLOGIES","5%",2021-07-01
"596","COMMUNITY SURGERY","5%",2021-07-01
"597","SA SURGERY","5%",2021-07-01
"598","SA ULTRASOUND","5%",2021-07-01
"599","BEHAVIOR","5%",2021-08-01
"600","DENTISTRY","5%",2021-08-01
"601","LAM - EQUINE","5%",2021-08-01
"602","ONCOLOGIES","5%",2021-09-01
"603","SA SURGERY","5%",2021-09-01
"604","PHARMACY","5%",2021-09-01
"605","LIVESTOCK","5%",2021-10-01
"606","SA CARDIOLOGY","5%",2021-10-01
"607","LAM - EQUINE","5%",2021-10-01
"608","PHARMACY","5%",2021-10-01
"609","PATHOLOGY","5%",2021-11-01
"610","SA ULTRASOUND","5%",2021-11-01
"611","ADMINISTRATION OVERHEAD","5%",2021-11-01
"612","SA ICU","5%",2021-12-01
"613","NUTRITION","4%",2020-01-01
"614","COMP AVIAN","4%",2020-01-01
"615","SA CARDIOLOGY","4%",2020-02-01
"616","SA ICU","4%",2020-02-01
"617","NEURO","4%",2020-02-01
"618","NUTRITION","4%",2020-02-01
"619","SA INTEGRATIVE MEDICINE","4%",2020-02-01
"620","SA SX SUPPORT","4%",2020-02-01
"621","B BARN","4%",2020-05-01
"622","FINANCIAL SERVICES","4%",2020-05-01
"623","OPHTHALMOLOGY","4%",2020-06-01
"624","SA SX SUPPORT","4%",2020-06-01
"625","FINANCIAL SERVICES","4%",2020-06-01
"626","ORTHOPEDIC SURGERY","4%",2020-08-01
"627","PATHOLOGY","4%",2020-08-01
"628","RADIOLOGY","4%",2020-08-01
"629","PHARMACY","4%",2020-08-01
"630","DENTISTRY","4%",2020-09-01
"631","B BARN","4%",2020-09-01
"632","PATHOLOGY","4%",2020-09-01
"633","FINANCIAL SERVICES","4%",2020-09-01
"634","SA COMMUNITY SERVICE","4%",2020-10-01
"635","ORTHOPEDIC SURGERY","4%",2020-10-01
"636","ADMINISTRATION OVERHEAD","4%",2020-10-01
"637","FINANCIAL SERVICES","4%",2020-10-01
"638","PATHOLOGY","4%",2020-11-01
"639","RADIOLOGY","4%",2020-11-01
"640","OPHTHALMOLOGY","4%",2020-12-01
"641","SA SX SUPPORT","4%",2020-12-01
"642","RADIOLOGY","4%",2020-12-01
"643","DENTISTRY","4%",2021-01-01
"644","ONCOLOGIES","4%",2021-01-01
"645","LAM - EQUINE","4%",2021-01-01
"646","PATHOLOGY","4%",2021-01-01
"647","PHARMACY","4%",2021-01-01
"648","PERSONNEL/PAYROLL","4%",2021-01-01
"649","BIOLOGICAL MEDIA SERVICES","4%",2021-02-01
"650","BEHAVIOR","4%",2021-02-01
"651","SA COMMUNITY SERVICE","4%",2021-02-01
"652","PHARMACY","4%",2021-02-01
"653","PERSONNEL/PAYROLL","4%",2021-02-01
"654","NUTRITION","4%",2021-03-01
"655","ONCOLOGIES","4%",2021-03-01
"656","OPHTHALMOLOGY","4%",2021-03-01
"657","B BARN","4%",2021-03-01
"658","SA MEDICINE","4%",2021-04-01
"659","ORTHOPEDIC SURGERY","4%",2021-04-01
"660","BEHAVIOR","4%",2021-05-01
"661","DENTISTRY","4%",2021-05-01
"662","SA COMMUNITY SERVICE","4%",2021-05-01
"663","FINANCIAL SERVICES","4%",2021-05-01
"664","COMP AVIAN","4%",2021-06-01
"665","BIOLOGICAL MEDIA SERVICES","4%",2021-07-01
"666","SA MEDICINE","4%",2021-07-01
"667","NUTRITION","4%",2021-07-01
"668","ONCOLOGIES","4%",2021-08-01
"669","BIOLOGICAL MEDIA SERVICES","4%",2021-09-01
"670","BEHAVIOR","4%",2021-09-01
"671","B BARN","4%",2021-09-01
"672","DENTISTRY","4%",2021-10-01
"673","SA INTEGRATIVE MEDICINE","4%",2021-10-01
"674","PATHOLOGY","4%",2021-10-01
"675","ONCOLOGIES","4%",2021-11-01
"676","SA SURGERY","4%",2021-11-01
"677","SA MEDICINE","3%",2020-01-01
"678","OPHTHALMOLOGY","3%",2020-01-01
"679","SA COMMUNITY SERVICE","3%",2020-01-01
"680","FINANCIAL SERVICES","3%",2020-01-01
"681","PERSONNEL/PAYROLL","3%",2020-01-01
"682","SA SURGERY","3%",2020-02-01
"683","COMP AVIAN","3%",2020-02-01
"684","PHARMACY","3%",2020-02-01
"685","FINANCIAL SERVICES","3%",2020-03-01
"686","FINANCIAL SERVICES","3%",2020-04-01
"687","SA SURGERY","3%",2020-05-01
"688","LIVESTOCK","3%",2020-06-01
"689","HOUSE OFFICERS","3%",2020-06-01
"690","ORTHOPEDIC SURGERY","3%",2020-06-01
"691","OPHTHALMOLOGY","3%",2020-07-01
"692","PATHOLOGY","3%",2020-07-01
"693","SA SURGERY","3%",2020-09-01
"694","RADIOLOGY","3%",2020-09-01
"695","B BARN","3%",2020-11-01
"696","ADMINISTRATION OVERHEAD","3%",2020-11-01
"697","FINANCIAL SERVICES","3%",2020-11-01
"698","COMP AVIAN","3%",2021-01-01
"699","B BARN","3%",2021-01-01
"700","ONCOLOGIES","3%",2021-02-01
"701","ADMINISTRATION OVERHEAD","3%",2021-02-01
"702","SA INTEGRATIVE MEDICINE","3%",2021-03-01
"703","SA COMMUNITY SERVICE","3%",2021-03-01
"704","ADMINISTRATION OVERHEAD","3%",2021-03-01
"705","ONCOLOGIES","3%",2021-04-01
"706","B BARN","3%",2021-05-01
"707","BIOLOGICAL MEDIA SERVICES","3%",2021-06-01
"708","SA COMMUNITY SERVICE","3%",2021-06-01
"709","SA SURGERY","3%",2021-06-01
"710","PATHOLOGY","3%",2021-06-01
"711","PERSONNEL/PAYROLL","3%",2021-06-01
"712","SA SURGERY","3%",2021-08-01
"713","PATHOLOGY","3%",2021-08-01
"714","SA SX SUPPORT","3%",2021-11-01
"715","LAM - EQUINE","3%",2021-11-01
"716","B BARN","3%",2021-11-01
"717","SA INTEGRATIVE MEDICINE","3%",2021-12-01
"718","BEHAVIOR","2%",2020-01-01
"719","SA CARDIOLOGY","2%",2020-01-01
"720","SA SURGERY","2%",2020-01-01
"721","OPHTHALMOLOGY","2%",2020-02-01
"722","BEHAVIOR","2%",2020-03-01
"723","NUTRITION","2%",2020-03-01
"724","PERSONNEL/PAYROLL","2%",2020-03-01
"725","BEHAVIOR","2%",2020-04-01
"726","ADMINISTRATION OVERHEAD","2%",2020-05-01
"727","SA SURGERY","2%",2020-06-01
"728","B BARN","2%",2020-07-01
"729","DERMATOLOGY","2%",2020-07-01
"730","SA SURGERY","2%",2020-08-01
"731","LIVESTOCK","2%",2020-09-01
"732","COMP AVIAN","2%",2020-09-01
"733","ADMINISTRATION OVERHEAD","2%",2020-09-01
"734","DENTISTRY","2%",2020-10-01
"735","SA SURGERY","2%",2020-10-01
"736","NEURO","2%",2021-01-01
"737","SA INTEGRATIVE MEDICINE","2%",2021-02-01
"738","LIVESTOCK","2%",2021-03-01
"739","BEHAVIOR","2%",2021-03-01
"740","OPHTHALMOLOGY","2%",2021-04-01
"741","OPHTHALMOLOGY","2%",2021-06-01
"742","SA CARDIOLOGY","2%",2021-07-01
"743","DENTISTRY","2%",2021-07-01
"744","SA INTEGRATIVE MEDICINE","2%",2021-07-01
"745","BIOLOGICAL MEDIA SERVICES","2%",2021-08-01
"746","SA CARDIOLOGY","2%",2021-08-01
"747","SA INTEGRATIVE MEDICINE","2%",2021-08-01
"748","B BARN","2%",2021-08-01
"749","FINANCIAL SERVICES","2%",2021-09-01
"750","DERMATOLOGY","2%",2021-10-01
"751","SA INTEGRATIVE MEDICINE","2%",2021-11-01
"752","SA COMMUNITY SERVICE","2%",2021-11-01
"753","DENTISTRY","2%",2021-12-01
"754","SA SURGERY","2%",2021-12-01
"755","HOUSE OFFICERS","1%",2020-01-01
"756","B BARN","1%",2020-01-01
"757","HOUSE OFFICERS","1%",2020-02-01
"758","HOUSE OFFICERS","1%",2020-03-01
"759","HOUSE OFFICERS","1%",2020-04-01
"760","HOUSE OFFICERS","1%",2020-05-01
"761","NUTRITION","1%",2020-05-01
"762","HOUSE OFFICERS","1%",2020-08-01
"763","OPHTHALMOLOGY","1%",2020-08-01
"764","B BARN","1%",2020-08-01
"765","HOUSE OFFICERS","1%",2020-09-01
"766","HOUSE OFFICERS","1%",2020-10-01
"767","OPHTHALMOLOGY","1%",2020-10-01
"768","PERSONNEL/PAYROLL","1%",2020-10-01
"769","OPHTHALMOLOGY","1%",2020-11-01
"770","ADMINISTRATION OVERHEAD","1%",2021-01-01
"771","OPHTHALMOLOGY","1%",2021-02-01
"772","B BARN","1%",2021-04-01
"773","HOUSE OFFICERS","1%",2021-05-01
"774","SA INTEGRATIVE MEDICINE","1%",2021-06-01
"775","HOUSE OFFICERS","1%",2021-07-01
"776","SA COMMUNITY SERVICE","1%",2021-07-01
"777","ADMINISTRATION OVERHEAD","1%",2021-07-01
"778","SA CARDIOLOGY","1%",2021-09-01
"779","SA COMMUNITY SERVICE","1%",2021-10-01
"780","B BARN","1%",2021-10-01
"781","FINANCIAL SERVICES","1%",2021-10-01
"782","HOUSE OFFICERS","1%",2021-12-01
"783","DERMATOLOGY","0%",2020-01-01
"784","PERSONNEL/PAYROLL","0%",2020-02-01
"785","DERMATOLOGY","0%",2020-02-01
"786","NUTRITION","0%",2020-04-01
"787","PERSONNEL/PAYROLL","0%",2020-04-01
"788","SA INTEGRATIVE MEDICINE","0%",2020-05-01
"789","DERMATOLOGY","0%",2020-05-01
"790","NUTRITION","0%",2020-06-01
"791","PERSONNEL/PAYROLL","0%",2020-06-01
"792","DERMATOLOGY","0%",2020-06-01
"793","HOUSE OFFICERS","0%",2020-07-01
"794","NUTRITION","0%",2020-08-01
"795","DERMATOLOGY","0%",2020-08-01
"796","BEHAVIOR","0%",2020-09-01
"797","NUTRITION","0%",2020-09-01
"798","NUTRITION","0%",2020-10-01
"799","B BARN","0%",2020-10-01
"800","HOUSE OFFICERS","0%",2020-11-01
"801","BEHAVIOR","0%",2020-11-01
"802","DERMATOLOGY","0%",2020-11-01
"803","HOUSE OFFICERS","0%",2020-12-01
"804","DERMATOLOGY","0%",2020-12-01
"805","HOUSE OFFICERS","0%",2021-01-01
"806","BEHAVIOR","0%",2021-01-01
"807","NUTRITION","0%",2021-01-01
"808","OPHTHALMOLOGY","0%",2021-01-01
"809","SA INTEGRATIVE MEDICINE","0%",2021-01-01
"810","DERMATOLOGY","0%",2021-01-01
"811","HOUSE OFFICERS","0%",2021-02-01
"812","DENTISTRY","0%",2021-02-01
"813","NUTRITION","0%",2021-02-01
"814","B BARN","0%",2021-02-01
"815","SA ULTRASOUND","0%",2021-02-01
"816","DERMATOLOGY","0%",2021-02-01
"817","HOUSE OFFICERS","0%",2021-03-01
"818","DENTISTRY","0%",2021-03-01
"819","PERSONNEL/PAYROLL","0%",2021-03-01
"820","HOUSE OFFICERS","0%",2021-04-01
"821","BEHAVIOR","0%",2021-04-01
"822","HOUSE OFFICERS","0%",2021-06-01
"823","BEHAVIOR","0%",2021-06-01
"824","SA ULTRASOUND","0%",2021-06-01
"825","DERMATOLOGY","0%",2021-06-01
"826","HOUSE OFFICERS","0%",2021-08-01
"827","NUTRITION","0%",2021-08-01
"828","HOUSE OFFICERS","0%",2021-09-01
"829","NUTRITION","0%",2021-09-01
"830","SA ULTRASOUND","0%",2021-09-01
"831","HOUSE OFFICERS","0%",2021-10-01
"832","NUTRITION","0%",2021-10-01
"833","OPHTHALMOLOGY","0%",2021-10-01
"834","HOUSE OFFICERS","0%",2021-11-01
"835","BEHAVIOR","0%",2021-11-01
"836","DENTISTRY","0%",2021-11-01
"837","NUTRITION","0%",2021-11-01
"838","FINANCIAL SERVICES","0%",2021-11-01
"839","DERMATOLOGY","0%",2021-11-01
"840","DERMATOLOGY","0%",2021-12-01
