name,n,year,n2
ORTHOPEDIC SURGERY,0.04,4/1/2021,4%
ONCOLOGIES,0.03,4/1/2021,3%
OPHTHALMOLOGY,0.02,4/1/2021,2%
B BARN,0.01,4/1/2021,1%
HOUSE OFFICERS,0.00,4/1/2021,0%
BEHAVIOR,0.00,4/1/2021,0%
SA ULTRASOUND,0.50,5/1/2021,50%
COMMUNITY SURGERY,0.22,5/1/2021,22%
ADMINISTRATION OVERHEAD,0.21,5/1/2021,21%
SA CARDIOLOGY,0.20,5/1/2021,20%
CENTRAL SERVICE,0.18,5/1/2021,18%
SA SX SUPPORT,0.17,5/1/2021,17%
LA FEED & BEDDING,0.17,5/1/2021,17%
PERSONNEL/PAYROLL,0.14,5/1/2021,14%
ORTHOPEDIC SURGERY,0.13,5/1/2021,13%
CLINICAL LABORATORIES,0.11,5/1/2021,11%
RADIOLOGY,0.11,5/1/2021,11%
LIVESTOCK,0.10,5/1/2021,10%
SA ICU,0.10,5/1/2021,10%
SMALL ANIMAL PATIENT CARE,0.10,5/1/2021,10%
BIOLOGICAL MEDIA SERVICES,0.09,5/1/2021,9%
NUTRITION,0.09,5/1/2021,9%
CLIENT SERVICES,0.09,5/1/2021,9%
ANESTHESIA,0.07,5/1/2021,7%
SA MEDICINE,0.06,5/1/2021,6%
COMP AVIAN,0.06,5/1/2021,6%
LAM - EQUINE,0.06,5/1/2021,6%
PATHOLOGY,0.06,5/1/2021,6%
PHARMACY,0.06,5/1/2021,6%
NEURO,0.05,5/1/2021,5%
ONCOLOGIES,0.05,5/1/2021,5%
OPHTHALMOLOGY,0.05,5/1/2021,5%
SA INTEGRATIVE MEDICINE,0.05,5/1/2021,5%
SA SURGERY,0.05,5/1/2021,5%
DERMATOLOGY,0.05,5/1/2021,5%
BEHAVIOR,0.04,5/1/2021,4%
DENTISTRY,0.04,5/1/2021,4%
SA COMMUNITY SERVICE,0.04,5/1/2021,4%
FINANCIAL SERVICES,0.04,5/1/2021,4%
B BARN,0.03,5/1/2021,3%
HOUSE OFFICERS,0.01,5/1/2021,1%
ORTHOPEDIC SURGERY,0.27,6/1/2021,27%
CENTRAL SERVICE,0.19,6/1/2021,19%
DENTISTRY,0.18,6/1/2021,18%
SA SX SUPPORT,0.16,6/1/2021,16%
COMMUNITY SURGERY,0.15,6/1/2021,15%
ADMINISTRATION OVERHEAD,0.15,6/1/2021,15%
LIVESTOCK,0.13,6/1/2021,13%
SMALL ANIMAL PATIENT CARE,0.13,6/1/2021,13%
CLINICAL LABORATORIES,0.13,6/1/2021,13%
SA ICU,0.12,6/1/2021,12%
LA FEED & BEDDING,0.11,6/1/2021,11%
RADIOLOGY,0.11,6/1/2021,11%
FINANCIAL SERVICES,0.11,6/1/2021,11%
NUTRITION,0.10,6/1/2021,10%
B BARN,0.09,6/1/2021,9%
PHARMACY,0.09,6/1/2021,9%
CLIENT SERVICES,0.09,6/1/2021,9%
SA MEDICINE,0.08,6/1/2021,8%
ANESTHESIA,0.08,6/1/2021,8%
NEURO,0.07,6/1/2021,7%
LAM - EQUINE,0.07,6/1/2021,7%
SA CARDIOLOGY,0.06,6/1/2021,6%
ONCOLOGIES,0.05,6/1/2021,5%
COMP AVIAN,0.04,6/1/2021,4%
BIOLOGICAL MEDIA SERVICES,0.03,6/1/2021,3%
SA COMMUNITY SERVICE,0.03,6/1/2021,3%
SA SURGERY,0.03,6/1/2021,3%
PATHOLOGY,0.03,6/1/2021,3%
PERSONNEL/PAYROLL,0.03,6/1/2021,3%
OPHTHALMOLOGY,0.02,6/1/2021,2%
SA INTEGRATIVE MEDICINE,0.01,6/1/2021,1%
HOUSE OFFICERS,0.00,6/1/2021,0%
BEHAVIOR,0.00,6/1/2021,0%
SA ULTRASOUND,0.00,6/1/2021,0%
DERMATOLOGY,0.00,6/1/2021,0%
OPHTHALMOLOGY,0.26,7/1/2021,26%
CLINICAL LABORATORIES,0.19,7/1/2021,19%
ORTHOPEDIC SURGERY,0.17,7/1/2021,17%
CENTRAL SERVICE,0.16,7/1/2021,16%
ANESTHESIA,0.14,7/1/2021,14%
PERSONNEL/PAYROLL,0.13,7/1/2021,13%
LIVESTOCK,0.12,7/1/2021,12%
SMALL ANIMAL PATIENT CARE,0.12,7/1/2021,12%
LA FEED & BEDDING,0.12,7/1/2021,12%
RADIOLOGY,0.12,7/1/2021,12%
DERMATOLOGY,0.12,7/1/2021,12%
SA ICU,0.11,7/1/2021,11%
PHARMACY,0.11,7/1/2021,11%
CLIENT SERVICES,0.11,7/1/2021,11%
COMP AVIAN,0.10,7/1/2021,10%
FINANCIAL SERVICES,0.10,7/1/2021,10%
BEHAVIOR,0.09,7/1/2021,9%
LAM - EQUINE,0.08,7/1/2021,8%
PATHOLOGY,0.08,7/1/2021,8%
NEURO,0.07,7/1/2021,7%
B BARN,0.07,7/1/2021,7%
SA SX SUPPORT,0.06,7/1/2021,6%
ONCOLOGIES,0.05,7/1/2021,5%
COMMUNITY SURGERY,0.05,7/1/2021,5%
SA SURGERY,0.05,7/1/2021,5%
SA ULTRASOUND,0.05,7/1/2021,5%
BIOLOGICAL MEDIA SERVICES,0.04,7/1/2021,4%
SA MEDICINE,0.04,7/1/2021,4%
NUTRITION,0.04,7/1/2021,4%
SA CARDIOLOGY,0.02,7/1/2021,2%
DENTISTRY,0.02,7/1/2021,2%
SA INTEGRATIVE MEDICINE,0.02,7/1/2021,2%
HOUSE OFFICERS,0.01,7/1/2021,1%
SA COMMUNITY SERVICE,0.01,7/1/2021,1%
ADMINISTRATION OVERHEAD,0.01,7/1/2021,1%
OPHTHALMOLOGY,0.21,8/1/2021,21%
PHARMACY,0.21,8/1/2021,21%
CLINICAL LABORATORIES,0.18,8/1/2021,18%
COMP AVIAN,0.16,8/1/2021,16%
ORTHOPEDIC SURGERY,0.15,8/1/2021,15%
COMMUNITY SURGERY,0.14,8/1/2021,14%
SA SX SUPPORT,0.13,8/1/2021,13%
FINANCIAL SERVICES,0.13,8/1/2021,13%
SA ICU,0.12,8/1/2021,12%
ANESTHESIA,0.12,8/1/2021,12%
CLIENT SERVICES,0.12,8/1/2021,12%
SMALL ANIMAL PATIENT CARE,0.11,8/1/2021,11%
DERMATOLOGY,0.11,8/1/2021,11%
LIVESTOCK,0.10,8/1/2021,10%
SA MEDICINE,0.08,8/1/2021,8%
SA COMMUNITY SERVICE,0.08,8/1/2021,8%
PERSONNEL/PAYROLL,0.08,8/1/2021,8%
NEURO,0.07,8/1/2021,7%
SA ULTRASOUND,0.07,8/1/2021,7%
CENTRAL SERVICE,0.07,8/1/2021,7%
LA FEED & BEDDING,0.06,8/1/2021,6%
RADIOLOGY,0.06,8/1/2021,6%
ADMINISTRATION OVERHEAD,0.06,8/1/2021,6%
BEHAVIOR,0.05,8/1/2021,5%
DENTISTRY,0.05,8/1/2021,5%
LAM - EQUINE,0.05,8/1/2021,5%
ONCOLOGIES,0.04,8/1/2021,4%
SA SURGERY,0.03,8/1/2021,3%
PATHOLOGY,0.03,8/1/2021,3%
BIOLOGICAL MEDIA SERVICES,0.02,8/1/2021,2%
SA CARDIOLOGY,0.02,8/1/2021,2%
SA INTEGRATIVE MEDICINE,0.02,8/1/2021,2%
B BARN,0.02,8/1/2021,2%
HOUSE OFFICERS,0.00,8/1/2021,0%
NUTRITION,0.00,8/1/2021,0%
COMP AVIAN,0.23,9/1/2021,23%
RADIOLOGY,0.16,9/1/2021,16%
ORTHOPEDIC SURGERY,0.15,9/1/2021,15%
LA FEED & BEDDING,0.15,9/1/2021,15%
CLINICAL LABORATORIES,0.15,9/1/2021,15%
SMALL ANIMAL PATIENT CARE,0.14,9/1/2021,14%
DERMATOLOGY,0.14,9/1/2021,14%
SA INTEGRATIVE MEDICINE,0.11,9/1/2021,11%
ANESTHESIA,0.11,9/1/2021,11%
ADMINISTRATION OVERHEAD,0.11,9/1/2021,11%
PERSONNEL/PAYROLL,0.11,9/1/2021,11%
CLIENT SERVICES,0.11,9/1/2021,11%
DENTISTRY,0.09,9/1/2021,9%
SA ICU,0.08,9/1/2021,8%
OPHTHALMOLOGY,0.08,9/1/2021,8%
LIVESTOCK,0.07,9/1/2021,7%
NEURO,0.07,9/1/2021,7%
SA MEDICINE,0.06,9/1/2021,6%
SA COMMUNITY SERVICE,0.06,9/1/2021,6%
COMMUNITY SURGERY,0.06,9/1/2021,6%
SA SX SUPPORT,0.06,9/1/2021,6%
LAM - EQUINE,0.06,9/1/2021,6%
PATHOLOGY,0.06,9/1/2021,6%
CENTRAL SERVICE,0.06,9/1/2021,6%
ONCOLOGIES,0.05,9/1/2021,5%
SA SURGERY,0.05,9/1/2021,5%
PHARMACY,0.05,9/1/2021,5%
BIOLOGICAL MEDIA SERVICES,0.04,9/1/2021,4%
BEHAVIOR,0.04,9/1/2021,4%
B BARN,0.04,9/1/2021,4%
FINANCIAL SERVICES,0.02,9/1/2021,2%
SA CARDIOLOGY,0.01,9/1/2021,1%
HOUSE OFFICERS,0.00,9/1/2021,0%
NUTRITION,0.00,9/1/2021,0%
SA ULTRASOUND,0.00,9/1/2021,0%
CLINICAL LABORATORIES,0.22,10/1/2021,22%
RADIOLOGY,0.17,10/1/2021,17%
COMP AVIAN,0.15,10/1/2021,15%
ANESTHESIA,0.14,10/1/2021,14%
ORTHOPEDIC SURGERY,0.13,10/1/2021,13%
SMALL ANIMAL PATIENT CARE,0.13,10/1/2021,13%
NEURO,0.11,10/1/2021,11%
SA MEDICINE,0.10,10/1/2021,10%
LA FEED & BEDDING,0.10,10/1/2021,10%
SA ULTRASOUND,0.10,10/1/2021,10%
PERSONNEL/PAYROLL,0.10,10/1/2021,10%
BIOLOGICAL MEDIA SERVICES,0.09,10/1/2021,9%
SA ICU,0.09,10/1/2021,9%
ADMINISTRATION OVERHEAD,0.09,10/1/2021,9%
SA SX SUPPORT,0.08,10/1/2021,8%
CLIENT SERVICES,0.08,10/1/2021,8%
BEHAVIOR,0.07,10/1/2021,7%
CENTRAL SERVICE,0.07,10/1/2021,7%
ONCOLOGIES,0.06,10/1/2021,6%
COMMUNITY SURGERY,0.06,10/1/2021,6%
SA SURGERY,0.06,10/1/2021,6%
LIVESTOCK,0.05,10/1/2021,5%
SA CARDIOLOGY,0.05,10/1/2021,5%
LAM - EQUINE,0.05,10/1/2021,5%
PHARMACY,0.05,10/1/2021,5%
DENTISTRY,0.04,10/1/2021,4%
SA INTEGRATIVE MEDICINE,0.04,10/1/2021,4%
PATHOLOGY,0.04,10/1/2021,4%
DERMATOLOGY,0.02,10/1/2021,2%
SA COMMUNITY SERVICE,0.01,10/1/2021,1%
B BARN,0.01,10/1/2021,1%
FINANCIAL SERVICES,0.01,10/1/2021,1%
HOUSE OFFICERS,0.00,10/1/2021,0%
NUTRITION,0.00,10/1/2021,0%
OPHTHALMOLOGY,0.00,10/1/2021,0%
LA FEED & BEDDING,0.15,11/1/2021,15%
CLINICAL LABORATORIES,0.15,11/1/2021,15%
LIVESTOCK,0.13,11/1/2021,13%
OPHTHALMOLOGY,0.13,11/1/2021,13%
SA MEDICINE,0.11,11/1/2021,11%
COMMUNITY SURGERY,0.11,11/1/2021,11%
ORTHOPEDIC SURGERY,0.11,11/1/2021,11%
ANESTHESIA,0.10,11/1/2021,10%
PERSONNEL/PAYROLL,0.10,11/1/2021,10%
BIOLOGICAL MEDIA SERVICES,0.09,11/1/2021,9%
COMP AVIAN,0.09,11/1/2021,9%
CENTRAL SERVICE,0.09,11/1/2021,9%
SMALL ANIMAL PATIENT CARE,0.08,11/1/2021,8%
RADIOLOGY,0.08,11/1/2021,8%
NEURO,0.07,11/1/2021,7%
PHARMACY,0.07,11/1/2021,7%
SA CARDIOLOGY,0.06,11/1/2021,6%
SA ICU,0.06,11/1/2021,6%
CLIENT SERVICES,0.06,11/1/2021,6%
PATHOLOGY,0.05,11/1/2021,5%
SA ULTRASOUND,0.05,11/1/2021,5%
ADMINISTRATION OVERHEAD,0.05,11/1/2021,5%
ONCOLOGIES,0.04,11/1/2021,4%
SA SURGERY,0.04,11/1/2021,4%
SA SX SUPPORT,0.03,11/1/2021,3%
LAM - EQUINE,0.03,11/1/2021,3%
B BARN,0.03,11/1/2021,3%
SA INTEGRATIVE MEDICINE,0.02,11/1/2021,2%
SA COMMUNITY SERVICE,0.02,11/1/2021,2%
HOUSE OFFICERS,0.00,11/1/2021,0%
BEHAVIOR,0.00,11/1/2021,0%
DENTISTRY,0.00,11/1/2021,0%
NUTRITION,0.00,11/1/2021,0%
FINANCIAL SERVICES,0.00,11/1/2021,0%
DERMATOLOGY,0.00,11/1/2021,0%
COMP AVIAN,0.28,12/1/2021,28%
PERSONNEL/PAYROLL,0.24,12/1/2021,24%
CLINICAL LABORATORIES,0.18,12/1/2021,18%
NEURO,0.15,12/1/2021,15%
SA MEDICINE,0.14,12/1/2021,14%
LA FEED & BEDDING,0.14,12/1/2021,14%
ANESTHESIA,0.13,12/1/2021,13%
SA CARDIOLOGY,0.12,12/1/2021,12%
CENTRAL SERVICE,0.12,12/1/2021,12%
ADMINISTRATION OVERHEAD,0.11,12/1/2021,11%
FINANCIAL SERVICES,0.11,12/1/2021,11%
BEHAVIOR,0.10,12/1/2021,10%
ONCOLOGIES,0.10,12/1/2021,10%
COMMUNITY SURGERY,0.10,12/1/2021,10%
SA SX SUPPORT,0.10,12/1/2021,10%
SA ULTRASOUND,0.10,12/1/2021,10%
LIVESTOCK,0.09,12/1/2021,9%
OPHTHALMOLOGY,0.09,12/1/2021,9%
ORTHOPEDIC SURGERY,0.08,12/1/2021,8%
CLIENT SERVICES,0.08,12/1/2021,8%
NUTRITION,0.07,12/1/2021,7%
SMALL ANIMAL PATIENT CARE,0.07,12/1/2021,7%
LAM - EQUINE,0.07,12/1/2021,7%
PHARMACY,0.07,12/1/2021,7%
BIOLOGICAL MEDIA SERVICES,0.06,12/1/2021,6%
SA COMMUNITY SERVICE,0.06,12/1/2021,6%
B BARN,0.06,12/1/2021,6%
PATHOLOGY,0.06,12/1/2021,6%
RADIOLOGY,0.06,12/1/2021,6%
SA ICU,0.05,12/1/2021,5%
SA INTEGRATIVE MEDICINE,0.03,12/1/2021,3%
DENTISTRY,0.02,12/1/2021,2%
SA SURGERY,0.02,12/1/2021,2%
HOUSE OFFICERS,0.01,12/1/2021,1%
DERMATOLOGY,0.00,12/1/2021,0%
